,title,artist,released_year,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,decease_date
4561,Diamonds,The Boxer Rebellion,2013,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,510,99999
4562,Sometimes It Snows In April,Prince & The Revolution,1986,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,511,99999
4563,Kiss From A Rose,Seal,1995,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,517,99999
4564,Dirty Diana,Michael Jackson,1987,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,524,2009
4565,Bliss,Muse,2001,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,531,99999
4566,Good Vibrations,The Beach Boys,1966,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,532,99999
4567,Cowboys And Angels,George Michael,1991,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,538,2015
4568,Light My Fire,The Doors,1967,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,539,99999
4569,Zij Maakt Het Verschil,De Poema's,2001,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,540,99999
4570,I Will Follow (live),U2,1982,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,541,99999
4571,Strawberry Fields Forever,The Beatles,1967,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,548,99999
4572,Bad Guy,Billie Eilish,2019,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,559,99999
4573,Hier Kom Ik Weg,Daniël Lohues,2008,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,561,99999
4574,Like A Hurricane ,Neil Young,1977,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,562,99999
4575,Down Under,Men at Work,1982,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,563,99999
4576,Rehab,Amy Winehouse,2006,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,564,2011
4577,Little Black Submarines,The Black Keys,2011,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,567,99999
4578,Papa Was A Rolling Stone,The Temptations,1972,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,573,99999
4579,The Power Of Love,Frankie Goes to Hollywood,1984,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,574,99999
4580,Wonderful Days,Charly Lownoise & Mental Theo,1995,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,575,99999
4581,I Don't Want To Miss A Thing,Aerosmith,1997,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,578,99999
4582,You Are So Beautiful,Joe Cocker,1974,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,580,99999
4583,Walk,Foo Fighters,2011,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,583,99999
4584,Just Give Me A Reason,P!nk ft. Nate Ruess,2012,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,585,99999
4585,Numb/Encore,Linkin Park & Jay-Z,2004,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,590,99999
4586,Try,P!nk,2012,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,591,99999
4587,Something,The Beatles,1969,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,596,99999
4588,Dreadlock Holiday,10cc,1978,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,598,99999
4589,Otherside,Red Hot Chili Peppers,2000,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,601,99999
4590,Is She Really Going Out With Him? (Live),Joe Jackson,1988,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,605,99999
4591,Calm After The Storm,The Common Linnets,2014,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,612,99999
4592,Think (Blues Brothers Version),Aretha Franklin,1980,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,619,99999
4593,Halo,Beyoncé,2009,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,621,99999
4594,Lazarus,David Bowie,2016,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,622,99999
4595,Fields Of Gold,Eva Cassidy,1996,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,625,99999
4596,Het Is Een Nacht... (Levensecht),Guus Meeuwis & Vagant,1995,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,632,99999
4597,Jimmy,Boudewijn de Groot,1973,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,638,99999
4598,De Verzoening,Frank Boeijen Groep,1987,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,642,99999
4599,Like A Rolling Stone,Bob Dylan,1965,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,643,99999
4600,Lullaby,The Cure,1989,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,646,99999
4601,Under The Pressure,The War On Drugs,2014,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,655,99999
4602,Don't Fear The Reaper,Blue Öyster Cult,1976,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,660,99999
4603,De Neus Umhoeg,Rowwen Hèze,1995,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,663,99999
4604,Champagne Supernova,Oasis,1996,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,673,99999
4605,American Idiot,Green Day,2004,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,679,99999
4606,Let It Happen,Tame Impala,2015,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,682,99999
4607,Lea,The Cats,1968,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,689,99999
4608,Zwart Wit,Frank Boeijen Groep,1984,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,692,99999
4609,The Turn Of A Friendly Card,The Alan Parsons Project,1980,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,697,99999
4610,Prachtig Mooie Dag,Daniël Lohues,2011,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,700,99999
4611,The Long And Winding Road,The Beatles,1970,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,704,99999
4612,One Way Wind,The Cats,1971,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,714,99999
4613,Islands In The Stream,Kenny Rogers & Dolly Parton,1983,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,723,99999
4614,Firestarter,The Prodigy,1996,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,725,99999
4615,Hald Mich 's Vas,Neet Oét Lottum,2004,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,728,99999
4616,Layla,Derek & The Dominos,1971,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,732,99999
4617,Love Hurts,Nazareth,1976,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,734,99999
4618,I Gotta Feeling,The Black Eyed Peas,2009,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,736,99999
4619,I Bet You Look Good On The Dancefloor,Arctic Monkeys,2005,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,738,99999
4620,Something Just Like This,The Chainsmokers & Coldplay,2017,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,739,99999
4621,Mijn Houten Hart,De Poema's,1999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,744,99999
4622,Home Again,Kensington,2012,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,750,99999
4623,Tinseltown In The Rain,The Blue Nile,1984,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,752,99999
4624,Ironic,Alanis Morissette,1996,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,755,99999
4625,Smack My Bitch Up,The Prodigy,1997,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,757,99999
4626,Would,Alice in Chains,1992,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,759,99999
4627,Het Werd Zomer,Rob De Nijs,1977,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,766,99999
4628,Memories,Maroon 5,2019,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,770,99999
4629,She's A Rainbow,The Rolling Stones,1967,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,783,99999
4630,All I Want Is You,U2,1988,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,790,99999
4631,Liefde Van Later,Herman van Veen,1969,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,795,99999
4632,Miracle,Ilse DeLange,2009,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,796,99999
4633,Friday I'm In Love,The Cure,1992,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,797,99999
4634,Waterfront,Simple Minds,1983,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,798,99999
4635,Almost Cut My Hair,"Crosby, Stills, Nash & Young",1970,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,800,99999
4636,Resistance,Muse,2009,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,804,99999
4637,Little Wing,The Jimi Hendrix Experience,1967,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,806,99999
4638,Everybody Wants To Rule The World,Tears for Fears,1985,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,807,99999
4639,Non Je Ne Regrette Rien,Édith Piaf,1961,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,813,99999
4640,Bad Liar,Imagine Dragons,2018,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,814,99999
4641,Every Little Thing She Does Is Magic,The Police,1981,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,817,99999
4642,"Ain't Got No, I Got Life (Original)",Nina Simone,1968,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,818,99999
4643,There Is a Light That Never Goes Out,The Smiths,1986,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,820,99999
4644,Sailing To Philadelphia,Mark Knopfler,2000,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,824,99999
4645,Time Is Running Out,Muse,2003,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,830,99999
4646,Norwegian Wood,The Beatles,1965,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,838,99999
4647,Help,The Beatles,1965,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,840,99999
4648,Both Sides Now,Joni Mitchell,1968,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,842,99999
4649,Brown Sugar,The Rolling Stones,1971,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,847,99999
4650,Start Me Up,The Rolling Stones,1981,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,852,99999
4651,So Lonely,The Police,1979,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,854,99999
4652,The Fool On The Hill,The Beatles,1967,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,857,99999
4653,Voodoo Child (Slight Return),The Jimi Hendrix Experience,1968,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,859,99999
4654,This Is The Life,Amy Macdonald,2008,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,864,99999
4655,Foto Van Vroeger,Rob De Nijs,1980,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,865,99999
4656,Waiting On A Sunny Day,Bruce Springsteen,2003,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,867,99999
4657,Once Upon A Time In The West,Ennio Morricone,1976,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,869,99999
4658,People Are Strange,The Doors,1967,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,874,99999
4659,Trouble,Coldplay,2000,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,878,99999
4660,High Hopes,Panic! At the Disco,2018,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,884,99999
4661,Use Somebody,Kings of Leon,2008,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,900,99999
4662,No More Tears,Ozzy Osbourne,1990,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,901,99999
4663,Where Is The Love,The Black Eyed Peas,2003,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,903,99999
4664,Road Trippin',Red Hot Chili Peppers,2000,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,904,99999
4665,Moonlight Shadow,Mike Oldfield & Maggie Reilly,1983,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,908,99999
4666,Pinball Wizard,The Who,1969,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,912,99999
4667,Anyplace Anywhere Anytime,Nena & Kim Wilde,2003,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,914,99999
4668,Waiting On A Friend,The Rolling Stones,1981,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,921,99999
4669,The Wind Cries Mary,The Jimi Hendrix Experience,1967,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,922,99999
4670,Marian,The Cats,1969,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,931,99999
4671,Het Land Van Maas En Waal,Boudewijn de Groot,1967,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,934,99999
4672,Droomland,Paul de Leeuw & Andre Hazes,1993,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,935,99999
4673,Disarm,The Smashing Pumpkins,1993,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,939,99999
4674,Question,The Moody Blues,1970,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,940,99999
4675,Unchained Melody,The Righteous Brothers,1965,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,944,99999
4676,I Just Can't Help Believin',Elvis Presley,1971,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,946,1977
4677,Thinking Of A Place,The War On Drugs,2017,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,956,99999
4678,Sgt. Peppers Lonely Hearts Club Band,The Beatles,1967,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,957,99999
4679,On Every Street,Dire Straits,1991,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,966,99999
4680,Lucy In The Sky With Diamonds,The Beatles,1967,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,969,99999
4681,Fool To Cry,The Rolling Stones,1976,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,971,99999
4682,Boys Don't Cry,The Cure,1986,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,975,99999
4683,Lavender,Marillion,1985,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,977,99999
4684,Happier,Ed Sheeran,2017,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,979,99999
4685,Go With The Flow,Queens Of The Stone Age,2003,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,991,99999
4686,Hunger Strike,Temple of the Dog,1991,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,992,99999
4687,Woman In Chains,Tears for Fears,1989,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,993,99999
4688,Miss You,The Rolling Stones,1978,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,998,99999
4689,I Wanna Dance With Somebody (Who Loves Me),Whitney Houston,1987,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,1003,2012
4690,Lonely Boy,The Black Keys,2011,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,1004,99999
4691,Onderuit,De Dijk,1987,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,1023,99999
4692,Purple Haze,The Jimi Hendrix Experience,1967,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,1032,99999
4693,The Times They Are A-Changin',Bob Dylan,1964,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,1034,99999
4694,Reünie,Snelle,2019,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,1035,99999
4695,All I Need,Air,1998,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,1040,99999
4696,Suzanne,Herman van Veen,1969,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,1042,99999
4697,Listen To The Music,The Doobie Brothers,1972,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,1050,99999
4698,New Light,John Mayer,2018,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,1051,99999
4699,Since Ive Been Loving You,Led Zeppelin,1970,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,1052,99999
4700,Best Of You,Foo Fighters,2005,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,1053,99999
4701,Can't Hold Us,Macklemore & Ryan Lewis ft. Ray Dalton,2012,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,1062,99999
4702,Non Non Rien N'A Change,Les Poppys,1971,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,1063,99999
4703,Save Me,Queen,1980,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,1067,99999
4704,Kiss,Prince & The Revolution,1986,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,1072,99999
4705,Don't Stop 'Til You Get Enough,Michael Jackson,1979,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,1074,2009
4706,Ruby Tuesday,The Rolling Stones,1967,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,1078,99999
4707,Carry On Wayward Son,Kansas,1976,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,1079,99999
4708,My Heart Will Go On,Céline Dion,1998,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,1081,99999
4709,Jumpin' Jack Flash,The Rolling Stones,1968,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,1089,99999
4710,You say,Lauren Daigle,2019,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,1090,99999
4711,Behind Blue Eyes,Limp Bizkit,2004,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,1098,99999
4712,'N Beetje Verliefd,André Hazes,1981,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,1101,99999
4713,Killer / Papa Was A Rollin' Stone,George Michael,1993,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,1107,2015
4714,Get Back,The Beatles,1969,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,1111,99999
4715,Someone You Loved,Lewis Capaldi,2019,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,1113,99999
4716,Michelle,The Beatles,1966,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,1114,99999
4717,Banger Hart,Rob De Nijs,1996,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,1116,99999
